Maintenance_flag,record_id,Measurement_timestamp,Vehicle_speed_sensor,Vibration,Engine_Load,Engine_Coolant_Temp,Intake_Manifold_Pressure,Engine_RPM,Speed_OBD,Intake_Air_Temp,Mass_Air_Flow_Rate,Throttle_Pos_Manifold,Voltage_Control_Module,Ambient_air_temp,Accel_Pedal_Pos_D,Engine_Oil_Temp,Speed_GPS,GPS_Longitude,GPS_Latitude,GPS_Bearing,GPS_Altitude,Turbo_Boost_And_Vcm_Gauge,Trip_Distance,Litres_Per_100km_Inst,Accel_Ssor_Total,CO2_in_g_per_km_Inst,Trip_Time_journey,fleetid,truckid,period,Region
0,3643,22FEB16:17:01:49,123,244.293523,34.11765,88,112,1539,123,10,26.58,80,14.12,9,36.862747,86,126.14408,8.9783890753,48.635225517,293.5,498,2.175566,213.64192,0,-0.02363,0,6953,Fleet_00913F1,Truck_0491X1,2,1
0,4989,22FEB16:17:24:15,87,246.296167,25.09804,83,121,1347,87,8,23.08,79.60784,13.98,8,24.705883,80,89.35272,8.7685517274,48.377744666,358.6,165,3.480905,254.27586,4.460526,-0.061731,117.98082,8299,Fleet_01113F1,Truck_0661X1,2,1
0,3789,22FEB16:17:04:15,162,242.123992,80,91,221,1994,162,14,79.27,80,13.96,8,47.058823,90,162.54031,8.6073310753,48.989003517,311.3,488,17.98468,219.04434,11.152885,0.045556,294.99362,7099,Fleet_00913F1,Truck_0311X1,2,1
0,3356,22FEB16:16:57:02,118,244.571668,63.92157,89,127,1474.5,118,11,27.61,80,14.18,9,14.901961,83,121.82434,8.3240290753,48.876695517,296.2,419,4.351131,204.65868,3.721881,-0.026377,98.443695,6666,Fleet_00913F1,Truck_0491X1,2,1
0,3382,22FEB16:16:57:28,95,245.851135,0.392157,89,111,1151.5,95,11,19.41,80,14.24,9,14.901961,84,99.037476,6.9146167631,48.248340339,297.8,429,2.030529,205.47015,0,-0.049584,0,6692,Fleet_00413F1,Truck_0351X1,2,2
0,4314,22FEB16:17:13:00,106,245.239216,40.784313,89,106,1328.5,106,8,22.05,80,14.12,7,14.901961,85,109.15209,8.2434336747,47.121333536,276.2,377,1.30534,235.31824,2.33225,-0.022264,61.68796,7624,Fleet_00613F1,Truck_0801X1,2,3
0,5097,22FEB16:17:26:03,96,245.795506,51.37255,85,109,1202,96,8,20.22,80,14.18,8,14.901961,80,107.60421,9.6653553589,48.513554752,44.3,160,1.740453,257.10287,2.652271,0.09485,70.15252,8407,Fleet_00713F1,Truck_0421X1,2,1
0,3521,22FEB16:16:59:47,125,244.182265,58.431374,91,117,1550.5,125,11,27.97,73.725494,14.18,9,33.333332,90,130.21223,8.6893510753,48.733961517,311.1,487,2.900755,209.72327,3.219819,-0.040293,85.16416,6831,Fleet_00913F1,Truck_0491X1,2,1
0,4674,22FEB16:17:19:00,114,244.794184,63.52941,87,123,1421.5,114,7,26.61,80,14.12,7,14.901961,83,118.008,8.7215587631,48.559596339,275.9,265,3.770981,245.79187,3.665488,-0.00953,96.952095,7984,Fleet_00413F1,Truck_0561X1,2,1
0,7973,22FEB16:18:13:59,27,249.633907,38.431374,88,117,1570,27,11,30.52,78.039215,14.28,8,32.941177,85,14.256045,9.2389437714,48.223963726,76.8,159,2.900755,308.33215,17.104715,0.028486,452.4194,11283,Fleet_00813F1,Truck_0551X1,2,1
0,815,22FEB16:16:14:41,129,243.959749,20.392157,81,113,1587.5,129,10,29.66,80,14.1,8,14.901961,80,133.92018,9.5858756153,48.470934484,258.7,546,2.320604,157.4699,1.147601,0.041225,30.354013,4125,Fleet_01213F1,Truck_0081X1,2,1
0,6137,22FEB16:17:43:23,133,243.737233,24.705883,88,132,1651,133,9,33.83,80,14.14,6,23.137255,88,143.67715,8.6662113589,48.579692752,24.4,150,5.076321,281.5341,0,-0.035051,0,9447,Fleet_00713F1,Truck_0201X1,2,1
0,6900,22FEB16:17:56:06,48,248.465698,98.82353,88,159,1525.5,48,14,41.38,67.84314,14.08,7,41.17647,84,48.67285,7.7063947631,48.668604339,13.8,152,8.99234,290.7781,21.70533,-0.04264,574.1056,10210,Fleet_00413F1,Truck_0641X1,2,2
1,2779,22FEB16:16:47:25,93,245.962393,30.19608,91,121,1307,93,12,25.27,80,14.16,8,45.882355,87,95.79606,7.7765822752,48.340820037,261.5,447,3.480905,190.0161,1.996477,-0.027181,52.80679,6089,Fleet_00313F1,Truck_0751X1,2,2
0,7811,22FEB16:18:11:17,32,249.355762,16.862745,88,111,1272.5,32,15,21.66,61.960785,14.24,9,29.019608,84,33.337242,7.7242447631,48.729204339,92.9,146,2.030529,307.065,2.811573,0.048032,74.36605,11121,Fleet_00413F1,Truck_0271X1,2,2
0,8201,22FEB16:18:17:47,38,249.021988,3.137255,89,110,1120,38,11,19.66,80,14.16,7,14.901961,84,38.196014,9.1166613589,48.935144752,84.8,159,1.88549,309.95703,0,0.042845,12.995431,11511,Fleet_00713F1,Truck_0711X1,2,1
0,1062,22FEB16:16:18:48,97,245.739877,26.27451,89,109,1197.5,97,9,19.47,74.5098,14.16,7,14.901961,85,97.92112,9.0916656747,47.252073536,309.5,405,1.740453,166.06395,2.246967,-0.017885,59.43223,4372,Fleet_00613F1,Truck_0361X1,2,3
0,5065,22FEB16:17:25:31,96,245.795506,40.39216,87,107,1187,96,8,19.3,80,14.14,8,14.901961,81,94.89617,9.7177773589,48.546962752,42,174,1.450378,256.24274,1.979421,0.027638,52.35566,8375,Fleet_00713F1,Truck_0421X1,2,1
0,5038,22FEB16:17:25:04,96,245.795506,50.588238,85,109,1194,96,8,20.13,80,14.18,8,14.901961,80,100.83665,9.7611993589,48.575294752,29.8,164,1.740453,255.54153,2.66826,0.092976,70.57543,8348,Fleet_00713F1,Truck_0421X1,2,1
0,4291,22FEB16:17:12:37,106,245.239216,53.72549,91,112,1318.5,106,8,22.08,79.60784,14.18,7,14.901961,85,109.72829,8.3004216747,47.123193536,269.2,379,2.175566,234.6395,2.747227,0.201439,72.66409,7601,Fleet_00613F1,Truck_0801X1,2,3
0,785,22FEB16:16:14:11,129,243.959749,0,83,118,1584,129,10,30.27,80,14.18,8,14.901961,82,135.46848,9.4970876153,48.471354484,297.6,625,3.045792,156.36319,0,-0.021352,0,4095,Fleet_01213F1,Truck_0081X1,2,1
0,7363,22FEB16:18:03:49,99,245.628619,0,89,116,1198.5,99,10,22.74,80,14.18,8,14.901961,85,101.48608,8.1211818588,48.150901043,354.1,143,2.755716,302.56778,0,-0.024214,0,10673,Fleet_00213F1,Truck_0791X1,2,2
0,7918,22FEB16:18:13:04,35,249.188875,63.52941,88,110,1181.5,35,12,17.86,68.62745,14.18,8,32.941177,85,37.26007,8.9581053589,48.967928752,91.4,152,1.88549,307.8629,3.603861,-0.031481,95.32205,11228,Fleet_00713F1,Truck_0711X1,2,1
0,4926,22FEB16:17:23:12,96,245.795506,0,83,120,1481.5,96,9,29.05,80,14.24,8,14.901961,82,100.19086,8.7099257274,48.309488666,274.8,227,3.335867,252.61197,0,-0.06095,0,8236,Fleet_01113F1,Truck_0661X1,2,1
0,6037,22FEB16:17:41:43,119,244.516039,85.4902,88,225,1879.5,119,9,72.58,80,14.08,6,49.019608,85,112.06837,8.8050993589,48.792818752,18.6,156,18.56483,277.40686,11.235648,0.019626,297.1827,9347,Fleet_00713F1,Truck_0201X1,2,1
0,4358,22FEB16:17:13:44,99,245.628619,56.862747,90,128,1227.5,99,9,22.94,76.86275,14.14,7,35.294117,85,102.564026,8.1378096747,47.111919536,270.3,387,4.49617,236.56363,4.740282,-0.006736,125.38038,7668,Fleet_00613F1,Truck_0801X1,2,3
0,7673,22FEB16:18:08:59,27,249.633907,19.215687,88,113,997.5,27,15,16.16,74.5098,14.26,8,14.901961,84,28.693106,9.3073137714,48.399337726,105.5,149,2.320604,306.51257,2.819895,0.009661,74.58617,10983,Fleet_00813F1,Truck_0411X1,2,1
0,4184,22FEB16:17:10:50,100,245.57299,25.09804,88,110,1290,100,8,22.66,80,14.12,7,36.07843,85,103.608055,8.5463856747,47.089941536,245.2,355,1.88549,231.64424,1.386052,0.067551,36.66106,7494,Fleet_00613F1,Truck_0801X1,2,3
1,6850,22FEB16:17:55:16,21,249.967681,33.72549,87,112,923.5,21,15,13.08,56.862747,14.28,6,14.901961,83,21.81674,8.4429497274,48.264038666,9.8,139,2.175566,290.25522,6.122448,0.095808,161.93864,10160,Fleet_01113F1,Truck_0381X1,2,1
0,344,22FEB16:16:06:50,89,246.184909,0,87,108,1374,89,9,23.97,80,14.2,7,14.901961,85,94.10424,9.1994148604,49.093367431,44.8,780,1.595415,143.28273,0,-0.010866,0,3655,Fleet_00113F1,Truck_0221X1,2,1
0,4977,22FEB16:17:24:03,89,246.184909,14.117647,83,114,1096,89,8,17.97,80,14.12,8,14.901961,80,92.19634,9.7711953589,48.662126752,358,172,2.465641,253.972,0,-0.188885,15.600235,8287,Fleet_00713F1,Truck_0421X1,2,1
0,3388,22FEB16:16:57:34,82,246.574312,73.333336,88,120,1318,82,11,26.05,80,14.22,9,14.901961,84,85.93393,8.3951650753,48.851927517,298.4,431,3.335867,205.63264,5.803306,-0.014915,153.49734,6698,Fleet_00913F1,Truck_0491X1,2,1
0,359,22FEB16:16:07:05,95,245.851135,0,86,112,1460.5,95,9,26.49,80,14.18,7,14.901961,84,96.33751,9.2111988604,49.103693431,36.7,781,2.175566,143.66368,0,-0.088403,0,3669,Fleet_00113F1,Truck_0221X1,2,1
0,4953,22FEB16:17:23:39,96,245.795506,50.980392,82,109,1197.5,96,8,20.08,80,14.16,8,14.901961,80,99.18,9.7651113589,48.696884752,332.2,202,1.740453,253.34282,2.613176,0.16496,69.118454,8263,Fleet_00713F1,Truck_0421X1,2,1
0,3719,22FEB16:17:03:05,140,243.34783,51.37255,91,115,1726.5,140,11,30.3,73.333336,14.1,9,31.764706,88,145.731,8.3890930753,48.935933517,282.3,499,2.61068,216.217,2.220273,-0.042645,58.726196,7029,Fleet_00913F1,Truck_0311X1,2,1
1,5801,22FEB16:17:37:47,80,246.68557,40.784313,88,107,1251,80,9,20.97,80,14.2,6,14.901961,84,81.50412,8.8082073589,49.117520752,8.1,135,1.450378,271.12863,2.606284,0.097081,68.93617,9111,Fleet_00713F1,Truck_0501X1,2,1
0,3518,22FEB16:16:59:44,126,244.126636,65.09804,92,121,1553,126,11,30.74,74.90196,14.16,9,32.156864,90,130.86261,8.6824810753,48.737765517,310.3,483,3.480905,209.63048,3.831114,-0.055995,101.3329,6828,Fleet_00913F1,Truck_0491X1,2,1
0,872,22FEB16:16:15:38,91,246.073651,60.784313,81,109,1152,91,9,17.97,72.94118,14.2,8,14.901961,78,94.75282,8.9519576153,48.668682484,256,464,1.740453,159.29875,1.432157,-0.062511,37.88052,4182,Fleet_01213F1,Truck_0101X1,2,1
0,5173,22FEB16:17:27:19,154,242.569024,88.62745,90,183,1917,154,13,45.61,80,14.14,7,14.901961,88,159.8761,8.554363794,49.481991773,34.7,156,12.473246,259.53378,6.625443,0.182293,175.24283,8483,Fleet_00513F1,Truck_0781X1,2,1
0,3294,22FEB16:16:56:00,113,244.849813,67.05882,86,128,1413,113,12,25.69,80,14.16,9,14.901961,83,116.78407,9.6773568604,48.629015431,293.2,431,4.49617,202.63664,3.77863,-0.096865,99.944695,6604,Fleet_00113F1,Truck_0141X1,2,1
0,3928,22FEB16:17:06:34,117,244.627297,0,88,120,1440,117,12,28.91,80,14.16,8,14.901961,87,125.496,8.9885556747,47.167035536,330.4,402,3.335867,224.93852,0,-0.058891,0,7238,Fleet_00613F1,Truck_0801X1,2,3
0,5286,22FEB16:17:29:12,113,244.849813,50.588238,89,113,1409,113,7,25.05,80,14.12,7,14.901961,83,114.04846,8.420269794,49.664997773,22.7,132,2.320604,263.20642,2.747571,0.353343,72.67322,8596,Fleet_00513F1,Truck_0781X1,2,1
1,6833,22FEB16:17:54:59,28,249.578278,24.313726,87,118,1163.5,28,16,18.8,59.215687,14.2,6,14.901961,83,29.34002,7.6966027631,48.703128339,10.6,139,3.045792,290.1554,4.170233,0.052114,110.30258,10143,Fleet_00413F1,Truck_0641X1,2,2
0,4550,22FEB16:17:16:56,107,245.183587,72.94118,84,122,1381,107,7,29.83,80,14.14,7,24.313726,81,109.87695,8.4260107631,48.582900339,300.4,244,3.625944,242.18571,6.688329,-0.076985,176.90617,7860,Fleet_00413F1,Truck_0561X1,2,1
0,7812,22FEB16:18:11:18,32,249.355762,27.843138,88,109,1362,32,15,22.74,65.4902,14.22,9,33.72549,84,33.192177,7.7249647631,48.729228339,92.4,148,1.740453,307.065,4.8166,0.040869,127.39899,11122,Fleet_00413F1,Truck_0271X1,2,2
0,979,22FEB16:16:17:25,158,242.346508,39.607845,88,175,1949.5,158,11,51.49,80,14.14,7,14.901961,84,159.1921,10.056083615,48.487050484,273.8,438,11.312943,163.05983,3.942433,-0.020047,104.27729,4289,Fleet_01213F1,Truck_0081X1,2,1
0,322,22FEB16:16:06:28,74,247.019344,34.509804,87,106,1373,74,9,22.52,80,14.16,7,14.901961,84,75.996216,9.1651308604,49.072841431,49.8,788,1.30534,142.74675,2.061753,0.042404,54.533318,3632,Fleet_00113F1,Truck_0221X1,2,1
0,4591,22FEB16:17:17:37,94,245.906764,87.84314,89,162,1511.5,94,7,39.88,80,14.16,7,38.82353,85,95.832436,8.5222387631,48.580518339,257.9,256,9.427452,243.37492,9.501289,0.005492,251.30893,7901,Fleet_00413F1,Truck_0561X1,2,1
0,5178,22FEB16:17:27:24,151,242.735911,0,91,124,1854,151,12,37.49,80,14.22,7,14.901961,88,155.8448,8.543791794,49.491753773,33.4,157,3.916019,259.74542,0,0.047965,0,8488,Fleet_00513F1,Truck_0781X1,2,1
0,4656,22FEB16:17:18:42,113,244.849813,21.568628,87,119,1386.5,113,8,26.69,80,14.18,7,14.901961,84,117.756134,8.6743507631,48.559020339,262.4,284,3.19083,245.25122,0,0.035485,0,7966,Fleet_00413F1,Truck_0561X1,2,1
0,4780,22FEB16:17:20:46,102,245.461732,20.784313,90,110,1255.5,102,10,22.77,80,14.16,7,14.901961,87,107.28021,9.4610613589,48.848714752,318.6,295,1.88549,248.62305,0,-0.055342,26.460411,8090,Fleet_00713F1,Truck_0421X1,2,1
0,7796,22FEB16:18:11:02,35,249.188875,41.960785,88,112,1380.5,35,16,23.55,61.56863,14.16,9,31.37255,84,34.992,7.7116507631,48.729066339,107.8,152,2.175566,306.93445,8.633273,0.029805,228.34993,11106,Fleet_00413F1,Truck_0271X1,2,2
0,197,22FEB16:16:04:23,83,246.518683,60.39216,89,107,1315,83,10,20.88,73.725494,14.16,7,32.941177,86,85.357704,9.006535794,49.341585773,279.5,821,1.450378,139.71819,3.536324,-0.022995,93.5357,3507,Fleet_00513F1,Truck_0471X1,2,1
0,7925,22FEB16:18:13:11,22,249.912052,99.60784,88,109,1245,22,12,11.02,80,14.3,8,33.72549,85,22.428722,7.7950027631,48.735792339,77,151,1.740453,307.91904,1.941443,0.014406,51.351143,11235,Fleet_00413F1,Truck_0271X1,2,2
0,5358,22FEB16:17:30:24,118,244.571668,51.37255,88,115,1466.5,118,7,26.36,80,14.18,6,14.901961,84,120.70813,8.335477794,49.781061773,30.9,145,2.61068,265.52267,2.658382,-0.001258,70.31416,8668,Fleet_00513F1,Truck_0781X1,2,1
1,6370,22FEB16:17:47:16,25,249.745165,50.19608,88,114,1062,25,7,16.72,79.60784,14.34,6,31.37255,84,28.261856,8.620195794,49.567215773,28.3,153,2.465641,287.95712,4.153907,-0.001517,109.87076,9680,Fleet_00513F1,Truck_0051X1,2,1
0,7985,22FEB16:18:14:11,50,248.35444,91.37255,88,138,1494.5,50,11,29.49,77.64706,14.22,8,31.37255,85,49.357063,7.8389647631,48.745602339,75,159,5.946547,308.46066,15.496004,-0.022538,409.86905,11295,Fleet_00413F1,Truck_0271X1,2,2
0,733,22FEB16:16:13:19,126,244.126636,34.901962,88,117,1556.5,126,11,29.91,76.07843,14.14,8,34.509804,87,130.43373,9.3719636153,48.530754484,325.2,650,2.900755,154.5357,0,-0.200701,0,4043,Fleet_01213F1,Truck_0081X1,2,1
0,7706,22FEB16:18:09:32,28,249.578278,22.745098,88,111,1163,28,15,19.61,60,14.16,8,14.901961,84,27.324593,7.9397958588,48.195769043,94.6,150,2.030529,306.62463,7.304318,-0.006775,193.19907,11016,Fleet_00213F1,Truck_0791X1,2,2
0,7222,22FEB16:18:01:28,95,245.851135,63.137257,89,115,1187,95,9,20.44,79.60784,14.12,7,34.11765,85,97.164536,7.7524567631,48.221826339,1.9,145,2.61068,298.78455,3.356851,0.076378,88.78864,10533,Fleet_00413F1,Truck_0641X1,2,2
0,6125,22FEB16:17:43:11,144,243.125314,72.94118,89,255,2299,144,10,62.61,80.39216,14.02,6,55.686275,88,146.84514,7.9201867631,48.355470339,22.7,156,22.915962,281.06595,3.200892,0.17226,84.66353,9435,Fleet_00413F1,Truck_0061X1,2,2
0,276,22FEB16:16:05:42,102,245.461732,0,87,107,1233.5,102,9,20.36,80,14.18,7,14.901961,85,109.40533,9.105649794,49.264113773,356.5,809,1.450378,141.78107,0,-0.007598,0,3586,Fleet_00513F1,Truck_0471X1,2,1
0,908,22FEB16:16:16:14,100,245.57299,1.176471,81,108,1217,100,9,21.49,80,14.2,8,14.901961,78,100.80023,8.8751096153,48.664410484,273.8,448,1.595415,160.24107,0,-0.036582,0,4218,Fleet_01213F1,Truck_0101X1,2,1
0,4564,22FEB16:17:17:10,106,245.239216,79.60784,85,172,1672.5,106,7,48.63,80,14.14,7,41.17647,81,109.40571,8.3601737274,48.129500666,279.5,243,10.87783,242.60835,10.757889,0.019525,284.54596,7874,Fleet_01113F1,Truck_0211X1,2,1
0,8197,22FEB16:18:17:43,36,249.133246,50.980392,88,112,1439.5,36,11,23.58,76.86275,14.18,7,30.19608,85,33.80448,9.1129293589,48.935204752,81.7,163,2.175566,309.9295,10.107704,0.033577,267.3486,11507,Fleet_00713F1,Truck_0711X1,2,1
0,7228,22FEB16:18:01:34,99,245.628619,70.98039,90,120,1246,99,9,22.22,80,14.2,7,34.901962,85,100.62165,7.7530927631,48.213054339,2.2,145,3.335867,298.972,3.9609,0.036103,104.76573,10539,Fleet_00413F1,Truck_0641X1,2,2
0,5177,22FEB16:17:27:23,154,242.569024,7.058824,91,115,1878,154,13,34.61,80,14.18,7,14.901961,88,159.62479,8.545939794,49.489791773,33.8,154,2.61068,259.68146,0,0.140097,11.036589,8487,Fleet_00513F1,Truck_0781X1,2,1
0,4271,22FEB16:17:12:17,106,245.239216,81.56863,91,137,1324.5,106,8,27.38,80,14.2,7,14.901961,85,106.81205,8.3504436747,47.121765536,269.4,367,5.80151,234.05234,5.230755,0.07364,138.35338,7581,Fleet_00613F1,Truck_0801X1,2,3
0,7415,22FEB16:18:04:41,87,246.296167,31.764706,89,110,1348.5,87,10,23.72,80,14.18,8,14.901961,86,91.15199,8.1374538588,48.219127043,348.9,142,1.88549,303.78976,1.597987,0.018448,42.266716,10725,Fleet_00213F1,Truck_0791X1,2,2
0,7233,22FEB16:18:01:39,100,245.57299,56.078434,90,112,1253,100,9,21.55,78.82353,14.18,7,14.901961,85,102.672226,7.7536687631,48.205398339,1.4,146,2.175566,299.1127,2.971259,0.01485,78.58976,10544,Fleet_00413F1,Truck_0641X1,2,2
0,103,22FEB16:16:02:49,58,247.909408,5.882353,89,106,1070,58,10,16.08,80,14.22,7,18.82353,87,61.05638,8.836051794,49.350579773,288,790,1.30534,137.64418,0,-0.041659,11.614368,3413,Fleet_00513F1,Truck_0471X1,2,1
0,2744,22FEB16:16:46:50,54,248.131924,16.470589,89,141,1670.5,54,12,35.24,80,14.22,8,32.54902,85,52.992046,8.9890076153,48.677136484,265.5,442,6.38166,189.32837,17.766356,-0.006241,469.91977,6054,Fleet_01213F1,Truck_0651X1,2,1
0,3938,22FEB16:17:06:44,108,245.127958,0,87,116,1310,108,11,25.8,80,14.16,8,14.901961,86,113.11942,8.9735316747,47.152845536,323.1,379,2.755716,225.25563,0,0.020695,0,7248,Fleet_00613F1,Truck_0801X1,2,3
0,4789,22FEB16:17:20:55,97,245.739877,55.294117,89,128,1269,97,9,25.49,80,14.12,7,36.07843,86,100.692024,9.4732293589,48.837776752,326.2,291,4.49617,248.85393,3.570636,0.105999,94.44325,8099,Fleet_00713F1,Truck_0421X1,2,1
0,3001,22FEB16:16:51:07,86,246.351796,58.823532,88,110,1362.5,86,10,20.94,78.039215,14.18,8,14.901961,86,87.73236,7.4101507631,48.619230339,299.7,556,1.88549,195.63518,3.528194,-0.015643,93.32066,6311,Fleet_00413F1,Truck_0351X1,2,2
0,4990,22FEB16:17:24:16,86,246.351796,29.803923,83,112,1356,86,9,23.77,80,14.16,8,14.901961,80,89.100464,8.7684617274,48.379130666,358.6,165,2.175566,254.29906,1.671205,0.031323,44.20334,8300,Fleet_01113F1,Truck_0661X1,2,1
0,7410,22FEB16:18:04:36,88,246.240538,73.333336,88,172,1662,88,11,41.13,80,14.06,8,14.901961,84,89.02923,9.0501936747,47.133303536,346.2,139,10.87783,303.66592,8.839373,-0.047106,233.80124,10720,Fleet_00613F1,Truck_0741X1,2,3
0,674,22FEB16:16:12:20,114,244.794184,40.39216,88,109,1422,114,10,24.91,80,14.18,7,14.901961,85,117.92811,8.8689468604,49.442273431,278.7,650,1.740453,152.56517,0,0.077102,14.423108,3984,Fleet_00113F1,Truck_0221X1,2,1
0,4117,22FEB16:17:09:43,105,245.294845,22.352942,90,120,1523.5,105,9,26.52,80,14.16,7,42.7451,89,107.64009,8.7006096747,47.051067536,244.3,341,3.335867,229.69183,1.37878,0.038378,36.468704,7427,Fleet_00613F1,Truck_0801X1,2,3
0,8273,22FEB16:18:18:59,37,249.077617,14.509804,87,119,1173,37,9,19.97,79.60784,14.06,7,25.490196,84,37.836617,9.1751853589,48.924212752,74.8,153,3.19083,310.68283,5.314086,0.050223,140.55746,11583,Fleet_00713F1,Truck_0711X1,2,1
0,8240,22FEB16:18:18:26,33,249.300133,19.607843,88,110,1298.5,33,9,22.86,80,14.18,7,29.803923,84,34.776073,9.1501413589,48.931106752,63.1,163,1.88549,310.35837,6.686129,-0.027364,176.84798,11550,Fleet_00713F1,Truck_0711X1,2,1
0,8009,22FEB16:18:14:35,49,248.410069,30.980392,88,109,1194,49,10,19.72,79.21569,14.28,8,28.62745,85,50.904015,9.0336813589,48.953936752,75.4,159,1.740453,308.7602,4.970089,-0.017151,131.45877,11319,Fleet_00713F1,Truck_0711X1,2,1
0,659,22FEB16:16:12:05,115,244.738555,51.37255,89,113,1441.5,115,10,25.27,79.21569,14.12,7,14.901961,85,120.392204,8.9106828604,49.439753431,286.7,653,2.320604,152.08134,3.034109,-0.008962,80.25212,3969,Fleet_00113F1,Truck_0221X1,2,1
0,3659,22FEB16:17:02:05,104,245.350474,72.94118,87,198,1693.5,104,10,56.05,80,14.16,9,40.784313,85,107.53261,6.5650082752,48.058496037,295.2,494,14.648811,214.14124,13.819947,-0.009938,365.53735,6969,Fleet_00313F1,Truck_0611X1,2,2
0,4279,22FEB16:17:12:25,106,245.239216,73.333336,92,123,1321.5,106,8,23.77,80,14.16,7,14.901961,85,110.413155,8.3297136747,47.122455536,267.1,370,3.770981,234.28297,4.026823,-0.196769,106.509384,7589,Fleet_00613F1,Truck_0801X1,2,3
0,796,22FEB16:16:14:22,129,243.959749,1.568628,82,118,1578.5,129,10,30.08,80,14.1,8,14.901961,81,135.936,9.5296976153,48.465924484,283.5,610,3.045792,156.79382,0,-0.056848,0,4106,Fleet_01213F1,Truck_0081X1,2,1
0,987,22FEB16:16:17:33,157,242.402137,56.47059,88,169,1940.5,157,11,57.27,80,14.06,7,39.607845,87,156.45839,10.083947615,48.485904484,274.7,436,10.442717,163.43777,5.065974,-0.037822,133.9949,4297,Fleet_01213F1,Truck_0081X1,2,1
0,4155,22FEB16:17:10:21,106,245.239216,80.39216,89,141,1346,106,8,28.52,80,14.08,7,38.431374,86,108.18,8.6108676747,47.071185536,249.4,348,6.38166,230.80092,5.931434,0.033228,156.88632,7465,Fleet_00613F1,Truck_0801X1,2,3
